Language,InventoryID,Source,SpecificDialect,Phoneme,Allophones,Marginal,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,lenis,raisedLarynxEjective,loweredLarynxImplosive,click
Egyptian Arabic (Cairene),231,upsid,,j,,False,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,k,,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,l̪,,False,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,+,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,m,,False,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,n̪,,False,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,q,,True,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,-,-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,r,,False,consonant,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,s̪,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,s̪ˤ,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,"-,+",-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,t̪,,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,t̪ˤ,,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,"-,+",-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,w,,False,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,z̪,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,z̪ˤ,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,"-,+",-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,ħ,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,+,-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,ɡ,,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,ʁ,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,-,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,ʃ,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,ʔ,,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,-,-,-,-,-,+,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,ʕ,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,+,-,+,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,χ,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,-,-,-,-,-,-,-,-,-,-,-
Egyptian Arabic (Cairene),231,upsid,,a,,False,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,0,-,-,0
Egyptian Arabic (Cairene),231,upsid,,eː,,False,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,0,-,-,0
Egyptian Arabic (Cairene),231,upsid,,iː,,False,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,0,-,-,0
Egyptian Arabic (Cairene),231,upsid,,oː,,False,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,0,-,-,0
