target_form,target_ipa,source_word,source_languoid,source_meaning,source_relation,source_certain,concept,age,borrowed,form_id
manier,m aː n iː r,manière,French,manner,immediate,yes,the manner,1260-1280,1. clearly borrowed,Dutch-17-49-1
maniok,m aː n iː j ɔ k,manioc,French,manioc,immediate,yes,the cassava/manioc,1596,1. clearly borrowed,Dutch-8-92-2
matras,m ɑ t r ɑ s,materas,French,matras,immediate,yes,the mattress,1384-1407,1. clearly borrowed,Dutch-23-53-1
meester,m eː s t ə r,maistre,French,meester,immediate,yes,the master,1236,1. clearly borrowed,Dutch-19-41-2
minister,m iː n ɪ s t ə r,ministre,French,minister (in government),immediate,yes,the minister,1698,1. clearly borrowed,Dutch-23-32-1
moskee,m ɔ s k eː,mosquée,French,mosque,immediate,yes,the mosque,1542,1. clearly borrowed,Dutch-22-132-1
muziek,m yː z iː k,musique,French,the music,immediate,yes,the music,1240,1. clearly borrowed,Dutch-23-63-1
oceaan,oː s eː j aː n,océan,French,ocean,immediate,yes,the ocean,1595,1. clearly borrowed,Dutch-1-329-1
olifant,oː l iː f ɑ n t,olifant,French,elephant,immediate,yes,the elephant,1240,1. clearly borrowed,Dutch-3-77-1
palm,p ɑ l m,"palme, palma",French,palm (1),immediate,yes,the palm of the hand,1237,1. clearly borrowed,Dutch-4-331-1
papegaai,p ɑ p ə ɣ aː j,papegai,French,papegaai,immediate,yes,the parrot,1287,1. clearly borrowed,Dutch-3-592-1
papier,p aː p iː r,papier,French,papier,immediate,yes,the paper,1361-1362,1. clearly borrowed,Dutch-18-56-1
pissen,p ɪ s ə,pissier,French,pissen,immediate,yes,to piss,1240,1. clearly borrowed,Dutch-4-65-1
plaats,p l aː t s,place,French,plaats,immediate,yes,the place,1285,1. clearly borrowed,Dutch-12-11-1
plat,p l ɑ t,plat,French,flat,immediate,yes,flat,1287,1. clearly borrowed,Dutch-12-71-1
politie,p oː l iː t s iː,police,French,"city guardians, police",immediate,yes,the police,1798,1. clearly borrowed,Dutch-23-33-1
pompoen,p ɔ m p uː n,pompon,French,pompoen,immediate,yes,the pumpkin or squash,1562,1. clearly borrowed,Dutch-8-931-1
post,p ɔ s t,poste,French,post/mail,immediate,yes,the post/mail,1525,1. clearly borrowed,Dutch-23-4-1
president,p r eː z iː d ɛ n t,président,French,president,immediate,yes,the president,1830,1. clearly borrowed,Dutch-23-31-1
prijs,p r ɛi s,pris,French,prijs,immediate,yes,the price,1250,1. clearly borrowed,Dutch-11-87-1
proeven,p r uː v ə,prover,French,proeven,immediate,yes,to taste,1200,1. clearly borrowed,Dutch-15-31-1
prostituee,p r ɔ s t iː t yː ʋ eː,prostituée,French,prostitute,immediate,yes,the prostitute,1878,1. clearly borrowed,Dutch-19-72-2
resten,r ɛ s t ə,reste,French,resten,immediate,yes,the remains,1452,1. clearly borrowed,Dutch-12-17-1
rijst,r ɛi s t,ris,French,rijst,immediate,yes,the rice,1252,1. clearly borrowed,Dutch-8-48-1
rivier,r iː v iː r,riviere,French,rivier,immediate,yes,the river or stream,1240,1. clearly borrowed,Dutch-1-36-1
rollen,r ɔ l ə,rouler,French,to roll,immediate,yes,to roll,1285,1. clearly borrowed,Dutch-10-15-1
rond,r ɔ n t,rond,French,rond,immediate,yes,round,1236,1. clearly borrowed,Dutch-12-81-1
roos,r oː s,rose,French,a certain flower,immediate,yes,the dandruff,1240,1. clearly borrowed,Dutch-4-146-1
savanne,s aː v ɑ n ə,savanne,French,savanne,immediate,yes,the savanna,1630,1. clearly borrowed,Dutch-1-411-1
schoonbroer,s x oː m b r uː r,beau-frère,French,schoonbroer,immediate,yes,the sibling-in-law,1555,5. no evidence for borrowing,Dutch-2-6412-1
schoondochter,s x oː n d ɔ x t ə r,belle-fille,French,daughter-in-law,immediate,yes,the daughter-in-law (of a man),1477,5. no evidence for borrowing,Dutch-2-64-1
schoondochter,s x oː n d ɔ x t ə r,belle-fille,French,daughter-in-law,immediate,yes,the daughter-in-law (of a woman),1477,5. no evidence for borrowing,Dutch-2-641-1
schoonkind,s x oː n k ɪ n t,beau-enfant,French,schoonkind,immediate,yes,the child-in-law,1912,5. no evidence for borrowing,Dutch-2-6411-1
schoonmoeder,s x oː n m uː d ə r,belle-mère,French,mother-in-law,immediate,yes,the mother-in-law (of a man),1477,5. no evidence for borrowing,Dutch-2-62-1
schoonmoeder,s x oː n m uː d ə r,belle-mère,French,mother-in-law,immediate,yes,the mother-in-law (of a woman),1477,5. no evidence for borrowing,Dutch-2-621-1
schoonouders,s x oː n ɑu d ə r s,beaux-parents,French,schoonouders,immediate,yes,the parents-in-law,1862,5. no evidence for borrowing,Dutch-2-622-1
schoonvader,s x oː n v aː d ə r,beau-père,French,father-in-law,immediate,yes,the father-in-law (of a man),1477,5. no evidence for borrowing,Dutch-2-61-1
schoonvader,s x oː n v aː d ə r,beau-père,French,father-in-law,immediate,yes,the father-in-law (of a woman),1477,5. no evidence for borrowing,Dutch-2-611-1
schoonzoon,s x oː n z oː n,beau-fils,French,son-in-law,immediate,yes,the son-in-law (of a woman),1470,5. no evidence for borrowing,Dutch-2-631-1
schoonzoon,s x oː n z oː n,beau-fils,French,son-in-law,immediate,yes,the son-in-law (of a man),1470,5. no evidence for borrowing,Dutch-2-63-1
schoonzuster,s x oː n z ʏ s t ə r,belle-sœur,French,schoonzuster,immediate,yes,the sibling-in-law,1555,5. no evidence for borrowing,Dutch-2-6412-2
schorpioen,s x ɔ r p iː j uː n,scorpion,French,scorpion,immediate,yes,the scorpion,1287,1. clearly borrowed,Dutch-3-815-1
schroef,s x r uː f,escroue,French,schroef,immediate,yes,the screw,1573,1. clearly borrowed,Dutch-23-55-1
seizoen,s ɛi z uː n,saison,French,seizoen,immediate,yes,the season,1265-1270,1. clearly borrowed,Dutch-14-78-1
sigaret,s iː ɣ aː r ɛ t,cigarette,French,cigarette,immediate,yes,the cigarette,1869,1. clearly borrowed,Dutch-23-59-1
soep,s uː p,soupe,French,soup,immediate,yes,the soup,1745,1. clearly borrowed,Dutch-5-64-1
soldaat,s ɔ l d aː t,soldat,French,soldaat,immediate,yes,the soldier,1562,1. clearly borrowed,Dutch-20-17-1
stof,s t ɔ f,estophe,French,stof (2),immediate,yes,the cloth,1302,1. clearly borrowed,Dutch-6-21-1
suiker,s œy k ə r,sucre,French,suiker,immediate,yes,the sugar,1253,1. clearly borrowed,Dutch-5-85-1
tante,t ɑ n t ə,tante,French,aunt,immediate,yes,the aunt,1782,1. clearly borrowed,Dutch-2-52-1
tante,t ɑ n t ə,tante,French,aunt,immediate,yes,the mother's sister,1782,1. clearly borrowed,Dutch-2-521-1
tante,t ɑ n t ə,tante,French,aunt,immediate,yes,the father's sister,1782,1. clearly borrowed,Dutch-2-522-1
tapijt,t aː p ɛi t,tapit,French,tapijt,immediate,yes,the rug,1240,1. clearly borrowed,Dutch-9-771-1
telefoon,t eː l ə f oː n,téléphone,French,telephone,immediate,yes,the telephone,1875,1. clearly borrowed,Dutch-23-12-1
tent,t ɛ n t,tente,French,tent,immediate,yes,the tent,1240,1. clearly borrowed,Dutch-7-14-1
termiet,t ɛ r m iː t,termite,French,termite,immediate,yes,the termites,1854,1. clearly borrowed,Dutch-3-834-1
toilet,t ʋ ɑ l ɛ t,toilette,French,"grooming, dressing, toilet",immediate,yes,the toilet,1914,1. clearly borrowed,Dutch-23-52-1
trompet,t r ɔ m p ɛ t,trompette,French,trumpet,immediate,yes,the horn or trumpet,1350,1. clearly borrowed,Dutch-18-73-2
uur,yː r,(h)ore,French,uur,immediate,yes,the hour,1240,1. clearly borrowed,Dutch-14-51-1
vallei,v ɑ l ɛi,vallée,French,valley,immediate,yes,the valley,1330,1. clearly borrowed,Dutch-1-24-1
vijg,v ɛi x,figes,French,vijg,immediate,yes,the fig,1100,1. clearly borrowed,Dutch-5-75-1
vlam,v l ɑ m,flamme,French,flame,immediate,yes,the flame,1265-1270,1. clearly borrowed,Dutch-1-82-1
zich_haasten,z ɪ x + h aː s t ə,se haster,French,zich haasten,immediate,yes,to hurry,1240,1. clearly borrowed,Dutch-14-23-1
boetseren,b uː t s eː r ə,bocer,French (Picard),boetseren,immediate,yes,to mould/mold,1562,1. clearly borrowed,Dutch-9-72-1
kamp,k ɑ m p,camp,French (Picard),camp,immediate,yes,the camp,1573,1. clearly borrowed,Dutch-7-65-1
kous,k ɑu s,cauce,French (Picard),sock or stocking,immediate,yes,the sock or stocking,1240,1. clearly borrowed,Dutch-6-49-1
moeras,m uː r ɑ s,marasc,French (Picard),moeras,immediate,yes,the swamp,1599,1. clearly borrowed,Dutch-1-38-1
plank,p l ɑ ŋ k,planke,French (Picard),board,immediate,yes,the board,1284,1. clearly borrowed,Dutch-7-57-1
plank,p l ɑ ŋ k,planke,French (Picard),board,immediate,yes,the shelf,1284,1. clearly borrowed,Dutch-7-47-1
rots,r ɔ t s,roch,French (Picard),rots,immediate,yes,the stone or rock,1285,1. clearly borrowed,Dutch-1-44-1
kerk,k ɛ r k,kuri(a)kon,Greek,kerk,immediate,yes,the church,0777,1. clearly borrowed,Dutch-22-131-1
adelaar,aː d ə l aː r,Adler,High German,adelaar,immediate,yes,the eagle,1477,1. clearly borrowed,Dutch-3-584-1
arts,ɑ r t s,Artz,High German,arts,immediate,yes,the physician,1586,1. clearly borrowed,Dutch-4-87-1
bediende,b ə d iː n d ə,Bediente(r),High German,bediende,immediate,yes,the servant,1704,1. clearly borrowed,Dutch-19-43-1
begrijpen,b ə ɣ r ɛi p ə,begreifen,High German,begrijpen,immediate,yes,to understand,1240,1. clearly borrowed,Dutch-17-16-1
bron,b r ɔ n,Brunne,High German,bron,immediate,yes,the spring or well,1605,1. clearly borrowed,Dutch-1-37-1
burger,b ʏ r ɣ ə r,Bürger,High German,burger,immediate,yes,the citizen,1240,3. perhaps borrowed,Dutch-19-37-1
eland,eː l ɑ n t,elen,High German,eland,immediate,yes,the elk/moose,1456-1489,1. clearly borrowed,Dutch-3-872-1
elf,ɛ l f,Elf(e),High German,elf (2),immediate,yes,the fairy or elf,1855-1857,1. clearly borrowed,Dutch-22-44-1
geheim,x ə h ɛi m,geheim,High German,geheim,immediate,yes,secret,1588,1. clearly borrowed,Dutch-17-36-1
gevaar,x ə v aː r,Gefahr,High German,gevaar,immediate,yes,the danger,1574,1. clearly borrowed,Dutch-16-54-1
gif,x ɪ f,Gift,High German,gif,immediate,yes,the poison,1606,1. clearly borrowed,Dutch-4-89-1
heersen,h eː r s ə,herrschen,High German,heersen,immediate,yes,to rule or govern,1348,1. clearly borrowed,Dutch-19-31-1
heks,h ɛ k s,Hexe,High German,heks,immediate,yes,the sorcerer or witch,1562,1. clearly borrowed,Dutch-22-43-1
hinderlaag,h ɪ n d ə r l aː x,Hinterhalt,High German,ambush,immediate,yes,the ambush,1710,1. clearly borrowed,Dutch-20-49-1
hut,h ʏ t,Hütte,High German,hut,immediate,yes,the hut,1475,1. clearly borrowed,Dutch-7-13-1
kaars,k aː r s,kerza,High German,kaars,immediate,yes,the candle,1240,1. clearly borrowed,Dutch-7-46-1
kachel,k ɑ x ə l,Kachelofen,High German,kachel,immediate,yes,the stove,1591,1. clearly borrowed,Dutch-7-32-1
kalender,k aː l ɛ n d ə r,Kalender,High German,kalender,immediate,yes,the calendar,1573,1. clearly borrowed,Dutch-23-61-1
kapot,k aː p ɔ t,kaputt,High German,kapot,immediate,yes,broken,1717,1. clearly borrowed,Dutch-9-261-1
langzaam,l ɑ ŋ z aː m,langsam,High German,langzaam,immediate,yes,slow,1265-1270,1. clearly borrowed,Dutch-14-22-1
medelijden,m eː d ə l ɛi d ə,Mitleid,High German,medelijden,immediate,yes,the pity,1350,1. clearly borrowed,Dutch-16-35-1
